Time Stamp,Name,,LBMP ($/MWHr)
8:00 PM,N.Y.C.,,20.86
9:00 PM,N.Y.C.,,13.79
10:00 PM,N.Y.C.,,23.18
11:00 PM,N.Y.C.,,26.87
12:00 AM,NORTH,,21.65
1:00 AM,NORTH,,14.32
2:00 AM,NORTH,,26.52
3:00 AM,NORTH,,12.62
4:00 AM,NORTH,,11.29
5:00 AM,NORTH,,22.84
6:00 AM,NORTH,,27.19
7:00 AM,NORTH,,13.57
8:00 AM,NORTH,,23.2
9:00 AM,NORTH,,26.97
10:00 AM,NORTH,,11.19
11:00 AM,NORTH,,21.03
12:00 PM,NORTH,,13.75
1:00 PM,NORTH,,23.63
2:00 PM,NORTH,,27.33
3:00 PM,NORTH,,21.51
4:00 PM,NORTH,,14.31
5:00 PM,NORTH,,26
6:00 PM,NORTH,,12.74
7:00 PM,NORTH,,11.46
8:00 PM,NORTH,,22.58
9:00 PM,NORTH,,26.67
10:00 PM,NORTH,,13.7
11:00 PM,NORTH,,22.92
12:00 AM,NPX,,26.42
1:00 AM,NPX,,11.38
2:00 AM,NPX,,20.91
3:00 AM,NPX,,13.76
4:00 AM,NPX,,23.11
5:00 AM,NPX,,25.92
6:00 AM,NPX,,19.86
7:00 AM,NPX,,14.26
8:00 AM,NPX,,25.52
9:00 AM,NPX,,12.76
10:00 AM,NPX,,11.64
11:00 AM,NPX,,21.7
12:00 PM,NPX,,26.25
1:00 PM,NPX,,13.61
2:00 PM,NPX,,21.93
3:00 PM,NPX,,26.01
4:00 PM,NPX,,11.53
5:00 PM,NPX,,19.44
6:00 PM,NPX,,13.7
7:00 PM,NPX,,22.81
8:00 PM,NPX,,25.67
9:00 PM,NPX,,21.58
10:00 PM,NPX,,14.69
11:00 PM,NPX,,25.62
12:00 AM,O H,,13.41
1:00 AM,O H,,12.14
2:00 AM,O H,,22.57
3:00 AM,O H,,26.47
4:00 AM,O H,,14.33
5:00 AM,O H,,22.83
6:00 AM,O H,,26
7:00 AM,O H,,12.03
8:00 AM,O H,,21.07
9:00 AM,O H,,14.19
10:00 AM,O H,,22.58
11:00 AM,O H,,22.68
12:00 PM,O H,,25.07
1:00 PM,O H,,16.91
2:00 PM,O H,,29.35
3:00 PM,O H,,15.24
4:00 PM,O H,,13.66
5:00 PM,O H,,26
6:00 PM,O H,,30.49
7:00 PM,O H,,16.34
8:00 PM,O H,,26.33
9:00 PM,O H,,29.74
10:00 PM,O H,,13.47
11:00 PM,O H,,24.45
12:00 AM,PJM,,16.33
1:00 AM,PJM,,26.25
2:00 AM,PJM,,28.59
3:00 AM,PJM,,18.98
4:00 AM,PJM,,14.69
5:00 AM,PJM,,24.22
6:00 AM,PJM,,13.09
7:00 AM,PJM,,12.13
8:00 AM,PJM,,20.82
9:00 AM,PJM,,25.11
10:00 AM,PJM,,13.94
11:00 AM,PJM,,21.02
12:00 PM,PJM,,24.65
1:00 PM,PJM,,12.01
2:00 PM,PJM,,18.67
3:00 PM,PJM,,14.14
4:00 PM,PJM,,22.34
5:00 PM,PJM,,27.31
6:00 PM,PJM,,18.06
7:00 PM,PJM,,11.61
8:00 PM,PJM,,21.24
9:00 PM,PJM,,11.09
10:00 PM,PJM,,10.25
11:00 PM,PJM,,18.76
12:00 AM,WEST,,21.93
1:00 AM,WEST,,12.02
2:00 AM,WEST,,19
3:00 AM,WEST,,21.56
4:00 AM,WEST,,10.2
